# symbol,name,bse_scrip_code
BEL,Bharat Electronics Ltd,500049
BHARTIARTL,Bharti Airtel Ltd,532454
RELIANCE,Reliance Industries Ltd,500325
HDFCBANK,HDFC Bank Ltd,500180
ICICIBANK,ICICI Bank Ltd,532174
IDFCFIRSTB,IDFC FIRST Bank Ltd,539437
IOC,Indian Oil Corp Ltd,530965
KEI,KEI Industries Ltd,517569
LT,Larsen & Toubro Ltd,500510
MAFANG,Mirae Asset NYSE FANG+ ETF,543291
RATEGAIN,RateGain Travel Tech Ltd,543417
TMPV,Tata Motors Passenger Vehicles,500570
TMCV,Tata Motors Commercial Vehicles,544569
TATAPOWER,Tata Power Co Ltd,500400
